mode	metabolite	slope	sd_intercept	p_uncorrected	p_fdr	MW	m/z	RT	name
neg_plasma	583	-21.3524652	0.046385471	0	0	155.99633	154.98907	6.711	unannotated
neg_feces	538	-71.875	0.049528656	0	0	168.04091	167.03363	4.073	unannotated
neg_plasma	5750	-12.75085616	0.050208515	0	0	603.79737	602.79095	14.56	unannotated
neg_plasma	5694	10.62411358	0.050315073	0	0	593.36735	592.36005	10.775	unannotated
neg_feces	4026	-49.15625	0.051632788	0	0	350.11748	349.1102	6.913	unannotated
neg_feces	546	-13.9765625	0.052588677	0	0	169.10866	168.10138	4.992	unannotated
neg_feces	6236	-32.04892595	0.053764568	0	0	462.22325	461.21597	7.365	unannotated
neg_feces	4838	131	0.057751251	0	0	386.26289	385.25562	6.959	unannotated
neg_plasma	822	-31.87027083	0.058569354	0	0	172.01213	171.00485	0.857	unannotated
neg_feces	4908	24.29126214	0.060198739	0	0	389.07413	388.06696	3.507	unannotated
pos_plasma	3966	-24.88888889	0.060232914	0	0	217.20383	218.21097	5.275	unannotated
neg_feces	4292	7.96875	0.062022653	0	0	362.09871	361.09143	4.479	unannotated
neg_plasma	5607	-14.24390244	0.062760172	0	0	578.48939	577.48236	14.177	unannotated
neg_feces	5217	-128	0.063066202	0	0	402.18898	401.1817	4.372	unannotated
pos_plasma	3301	0.43373494	0.063753581	0.000859549	0.011366677	186.03755	187.04486	6.746	unannotated
pos_plasma	4798	15.44444444	0.06539016	0	0	286.13133	287.13879	7.428	unannotated
neg_feces	3137	-48.1004718	0.065679705	0	0	314.06322	313.05594	3.22	unannotated
neg_feces	6077	2.3125	0.069886653	3.77E-22	5.49E-21	452.24	451.23273	7.37	unannotated
neg_feces	8157	-16.25	0.071365032	0	0	595.44581	594.43854	10.982	unannotated
pos_feces	5386	-26.66796875	0.071480871	0	0	244.15755	245.16483	7.64	unannotated
neg_feces	3262	-14.29166667	0.073080006	0	0	318.16654	317.15906	3.562	unannotated
pos_feces	7879	-19.44827586	0.073394994	0	0	384.28388	385.29099	12.034	unannotated
pos_plasma	5411	-16.0859685	0.073528903	0	0	357.35986	358.36707	10.37	unannotated
neg_feces	8628	-101.5	0.073700407	0	0	682.42616	681.41888	6.869	unannotated
neg_plasma	3674	1.33125	0.075719048	3.62E-61	4.54E-60	347.11189	346.10461	5.355	unannotated
pos_plasma	3801	11.9921875	0.076312475	0	0	211.04526	212.05232	10.291	unannotated
neg_feces	4809	-36	0.076985048	0	0	386.09855	385.09128	5.592	unannotated
neg_plasma	3013	3.275	0.077419252	0	0	305.84081	304.83368	14.571	unannotated
neg_plasma	1175	12.09375	0.078971538	0	0	197.08052	196.07338	0.851	N-Acetyl-histidine
neg_feces	2757	10.59102043	0.08045551	0	0	297.08388	296.0766	4.236	unannotated
neg_plasma	1429	63.9375	0.081499418	0	0	214.11921	213.11215	5.187	unannotated
pos_plasma	1453	10.24038462	0.084683636	0	0	134.00637	135.01352	6.637	unannotated
neg_feces	8314	25.46428571	0.085842015	0	0	618.28646	308.13596	7.952	unannotated
neg_plasma	4610	15.62142857	0.086349324	0	0	448.0696	447.06238	11.991	unannotated
neg_feces	4140	47.97204212	0.086364634	0	0	355.20933	354.20206	5.923	unannotated
pos_plasma	4011	4.366071429	0.086584346	0	0	220.9764	221.9834	7.617	unannotated
pos_plasma	2333	2.882575758	0.091579134	7.18E-220	1.08E-218	151.00895	152.01613	5.852	unannotated
neg_plasma	5950	-31.94338504	0.091831912	0	0	649.29751	648.29028	9.452	unannotated
neg_feces	3703	-12.94578313	0.092077719	0	0	340.21504	339.20776	12.736	unannotated
pos_plasma	6672	16.19702328	0.093242256	0	0	673.49449	674.50177	10.002	unannotated
pos_plasma	104	-6.3625	0.093343418	0	0	81.0584	82.06573	9.074	unannotated
neg_feces	4905	18.875	0.093652206	0	0	388.29259	387.28531	7.891	unannotated
neg_feces	3482	134	0.094127673	0	0	330.03672	329.02933	6.199	unannotated
neg_plasma	6310	16.08125	0.096024293	0	0	924.54222	923.53516	7.799	unannotated
neg_feces	3757	-17.484375	0.096841826	0	0	344.08826	343.08093	5.896	unannotated
neg_plasma	4055	-15.9375	0.097016634	0	0	385.97019	498.95578	3.254	unannotated
pos_plasma	4595	2.643939394	0.097195325	1.79E-219	2.67E-218	268.91311	269.92056	14.552	unannotated
neg_plasma	3510	-1.453488372	0.098145806	1.06E-56	1.32E-55	335.86987	334.86267	14.558	unannotated
neg_feces	1695	-16.08960394	0.099031339	0	0	253.0944	252.08731	3.826	N-Acetylvanilalanine
pos_feces	5688	9.09352518	0.099826489	9.84E-240	1.86E-238	259.18908	260.19656	1.289	unannotated
neg_plasma	681	8.984375	0.100374581	0	0	164.02069	163.01332	0.91	unannotated
pos_plasma	3849	4.612215909	0.100482568	0	0	213.20903	214.21623	10.271	unannotated
pos_feces	5774	-14.96153846	0.102005258	0	0	262.22959	263.23685	9.192	2-[5,8-Tetradecadien-1-yl]cyclobutanone
pos_plasma	5353	14.86956522	0.102430899	0	0	348.14147	349.14871	3.147	unannotated
neg_plasma	4432	12.83333333	0.103917149	0	0	429.85914	428.85187	6.643	unannotated
neg_plasma	2782	20.1875	0.108933864	0	0	293.07855	292.07144	0.851	unannotated
pos_plasma	3628	12.95	0.110461884	0	0	202.09928	203.1066	6.164	Demethoxyencecalin
pos_plasma	4572	7.987915039	0.110835148	0	0	267.25563	268.26303	8.444	unannotated
pos_plasma	2811	16.03397548	0.111363538	0	0	168.02701	169.03424	4.088	unannotated
pos_feces	1326	-9.2	0.115453927	2.05E-253	3.98E-252	126.07927	127.08631	1.317	unannotated
pos_plasma	6454	-6.027777778	0.116144131	0	0	582.24681	583.25409	8.756	unannotated
pos_feces	7760	-43.5	0.116735094	0	0	376.13476	377.14209	3.463	unannotated
pos_plasma	331	145.25	0.11694938	0	0	91.04264	92.05003	3.084	unannotated
neg_plasma	1838	8.444444444	0.118886422	0	0	232.09314	231.08606	3.258	unannotated
neg_feces	1280	101.4375	0.120448393	0	0	230.08897	229.0817	2.735	unannotated
pos_feces	8052	38.60273973	0.120950041	0	0	397.23697	199.62576	4.744	unannotated
neg_plasma	5770	384.75	0.121096601	0	0	607.7402	606.73309	14.566	unannotated
pos_plasma	2232	32.4744236	0.121226148	0	0	148.06552	149.07254	3.071	unannotated
neg_plasma	5045	-7.333333333	0.12223305	3.05E-251	4.12E-250	496.99493	495.9874	3.255	unannotated
pos_plasma	1174	-11.9921875	0.123492793	0	0	124.03054	125.0377	14.527	unannotated
neg_feces	6935	-31.875	0.12375198	0	0	498.27922	497.27194	3.673	unannotated
neg_feces	7543	-48.46280174	0.124744604	0	0	536.1008	267.04312	4.515	unannotated
neg_plasma	2423	8.03125	0.125168227	0	0	269.13852	268.13144	4.515	unannotated
neg_feces	8851	-13.98046875	0.127273383	0	0	758.49739	757.49011	10.318	unannotated
pos_plasma	1769	10.77777778	0.127571437	0	0	138.9943	140.00148	8.952	unannotated
pos_feces	7133	-56.375	0.127733194	0	0	339.24193	340.24921	8.098	unannotated
pos_plasma	4067	32.00053276	0.128268571	0	0	226.0587	227.06598	14.52	unannotated
pos_plasma	2699	23.37760417	0.129056038	0	0	165.06372	166.07114	5.914	unannotated
neg_feces	3039	15.15789474	0.130484892	0	0	309.13155	308.12415	3.267	unannotated
neg_plasma	2768	-32.02211034	0.135282651	0	0	291.9289	290.92163	7.875	unannotated
pos_feces	3892	21.375	0.135347544	0	0	192.08993	193.09741	3.611	unannotated
neg_plasma	1746	4.281690141	0.137059995	1.98E-44	2.44E-43	227.92418	226.9169	2.761	unannotated
pos_feces	9249	32.19739272	0.137375415	0	0	505.22118	506.22845	9.695	unannotated
neg_plasma	2820	-12	0.137888474	0	0	294.87068	293.8634	1.371	unannotated
pos_plasma	1303	15.80466413	0.138103945	0	0	128.96218	129.96951	14.562	unannotated
pos_plasma	4944	24.00816943	0.13823923	0	0	298.19264	299.19998	11.067	unannotated
pos_plasma	6165	4.79375	0.139084558	0	0	507.24387	508.25058	7.623	unannotated
neg_plasma	1261	17.875	0.140291256	0	0	202.15567	201.14839	7.397	unannotated
pos_plasma	5505	-21.00502608	0.143700401	0	0	367.07509	368.08237	1.935	unannotated
pos_plasma	1936	59.90625	0.14632227	0	0	144.06839	145.0757	9.376	Nutty oxaline
neg_feces	6291	15.67940312	0.147440668	3.65E-281	6.06E-280	465.3062	464.29892	6.662	unannotated
neg_feces	4760	23.96856901	0.148683711	0	0	384.09813	383.09085	4.454	unannotated
neg_plasma	867	59.875	0.14875574	0	0	175.04645	174.03905	0.885	unannotated
pos_plasma	3226	47.97301398	0.149502644	0	0	183.06557	184.07285	7.109	unannotated
neg_feces	906	192.5	0.150907258	0	0	204.06175	203.05447	3.274	unannotated
pos_plasma	4217	-13.96875	0.151631067	0	0	236.21335	237.22057	12.209	10,12-Hexadecadienal
pos_plasma	6616	25.82692308	0.152799447	0	0	644.30332	323.15845	7.797	unannotated
neg_plasma	3905	16	0.154793961	0	0	370.05025	369.04282	4.16	unannotated
pos_feces	7415	2.58125	0.158192251	3.24E-55	4.91E-54	355.21065	356.21793	3.649	unannotated
neg_plasma	1550	15.94814005	0.158542558	0	0	216.89224	215.88496	1.981	unannotated
pos_plasma	389	3.9375	0.160664212	0	0	95.07387	96.08107	5.35	unannotated
pos_plasma	1297	352.4375	0.16269022	0	0	128.51696	129.52423	7.61	unannotated
pos_plasma	39	9.930232558	0.163335736	0	0	74.01896	116.05277	1.722	unannotated
neg_plasma	974	-21.33793251	0.165077784	0	0	183.90573	182.89845	14.599	unannotated
neg_feces	2763	-130.015625	0.165145052	0	0	298.08275	297.07547	5.539	unannotated
pos_plasma	4677	15.92759773	0.165460755	0	0	277.16731	278.17459	7.05	unannotated
pos_plasma	4836	13.875	0.165539687	0	0	288.42228	289.42953	2.239	unannotated
pos_feces	6684	-65.4625	0.165651454	0	0	310.26583	311.2731	8.26	unannotated
pos_feces	3268	-10.75461521	0.166828968	3.36E-171	5.88E-170	174.11149	175.11848	2.862	unannotated
neg_feces	5392	-24.9	0.16883145	0	0	410.1925	409.18515	5.132	unannotated
neg_feces	1799	22.125	0.1715881	0	0	258.18187	257.17459	8.395	Tetradecanedioic acid
neg_plasma	4789	-7.875	0.172802827	0	0	466.95364	465.94662	0.826	unannotated
pos_plasma	3856	-20.75	0.175085428	0	0	213.20993	214.21721	8.445	unannotated
neg_feces	8787	-21.41517751	0.175403185	0	0	735.34597	734.33881	5.88	unannotated
pos_feces	6003	-16.08444799	0.175487297	0	0	276.17201	277.17929	9.456	cyclandelate
pos_plasma	5668	26.03240741	0.176025975	0	0	403.26888	404.27615	9.265	unannotated
neg_plasma	358	3.8125	0.17667964	8.32E-118	1.08E-116	131.98933	130.98206	2.874	unannotated
pos_plasma	2752	8.051012962	0.178496898	0	0	166.0479	167.05518	12.325	Xylonic acid
neg_plasma	3545	21.34490702	0.179425512	0	0	337.87461	336.86725	1.005	unannotated
pos_plasma	689	-522	0.180594761	0	0	107.03741	108.04473	2.732	6-iminocyclohexa-2,4-dienone
pos_plasma	687	-9.5	0.181114115	0	0	107.03675	149.07057	1.609	unannotated
pos_plasma	3630	3.303571429	0.181579621	1.30E-63	1.77E-62	202.17192	203.1792	9.553	Curcumene
neg_feces	7002	-15.98469918	0.182951191	0	0	501.24203	500.2355	3.466	unannotated
pos_plasma	1977	-4.714285714	0.183852998	1.91E-222	2.89E-221	146.05764	147.06494	6.759	unannotated
neg_feces	4989	47.96933272	0.183948915	0	0	392.19359	391.1861	5.357	unannotated
pos_plasma	266	-6.8	0.18518509	0	0	88.0313	89.03868	1.261	unannotated
pos_plasma	5930	16.07562269	0.187958461	0	0	452.95971	453.96643	0.801	unannotated
pos_plasma	6379	7.9375	0.188173863	0	0	558.28923	559.29492	9.456	unannotated
neg_plasma	6184	-18.21428571	0.190311677	0	0	776.70026	775.69202	2.537	unannotated
pos_plasma	5134	15.76074678	0.192127845	0	0	316.9876	317.99487	1.279	unannotated
neg_feces	3540	18.11764706	0.192845569	0	0	332.0554	331.04813	5.779	unannotated
pos_plasma	3902	-6.25	0.192854267	2.98E-165	4.24E-164	214.12009	215.12741	9.812	unannotated
pos_plasma	3955	15.82935842	0.194122277	0	0	216.15466	217.16197	8.692	unannotated
neg_plasma	3028	56.25	0.200800223	0	0	306.06082	305.05356	1.725	unannotated
neg_plasma	3448	29.7	0.203059231	0	0	331.96144	330.95416	3.096	unannotated
pos_plasma	4097	-59.75	0.203149113	0	0	227.22461	228.23175	6.376	unannotated
pos_feces	8334	2.875	0.203183006	4.76E-09	6.80E-08	415.34338	416.35031	7.086	unannotated
pos_feces	1792	-21.3901682	0.203909245	0	0	136.12512	137.13234	11.513	unannotated
neg_plasma	4463	31.86170193	0.205782045	0	0	432.19823	431.19095	7.347	unannotated
pos_plasma	2437	-31.97626854	0.20684803	0	0	154.03751	155.0446	0.867	Acipimox
pos_feces	2145	23.5	0.207748283	0	0	146.10934	147.11674	8.626	unannotated
neg_feces	4387	48.10796272	0.208790073	0	0	367.13685	366.12958	3.298	unannotated
neg_feces	7107	-23.94127177	0.209589574	0	0	508.21508	507.20779	4.15	unannotated
pos_feces	7835	-80.25	0.211724603	0	0	381.33537	382.34265	10.309	unannotated
neg_plasma	5726	11.75714286	0.215671153	0	0	599.25423	598.24701	7.867	unannotated
neg_feces	8474	-17.015625	0.216122454	0	0	648.26217	323.12381	6.143	unannotated
neg_plasma	5123	-10.62007395	0.216173116	0	0	506.27137	505.26434	6.187	unannotated
neg_feces	1625	15.89583333	0.219008503	0	0	248.0887	247.08142	0.95	unannotated
neg_plasma	4674	-87.9375	0.221141727	0	0	454.25517	453.24789	8.012	Rhodojaponin IV
pos_feces	6054	21.22632785	0.221515584	0	0	278.22394	279.23093	9.587	unannotated
pos_feces	434	-32.40766569	0.221603025	0	0	95.07403	96.08101	1.097	unannotated
neg_plasma	6370	85.75	0.221769548	0	0	1237.48486	617.73511	5.154	unannotated
pos_feces	282	33.375	0.222840778	0	0	87.94577	88.95316	1.048	unannotated
neg_feces	7667	32.06405975	0.223667997	0	0	546.26369	545.2561	3.378	unannotated
pos_feces	3296	-143.625	0.22457183	0	0	175.04756	176.05484	9.978	N-Acetyl-aspartic acid
neg_plasma	5436	2.708333333	0.225269724	2.16E-164	2.86E-163	552.88154	551.87427	6.632	unannotated
neg_feces	5144	-12.75	0.225453908	0	0	398.25165	397.24472	4.573	unannotated
neg_feces	3113	10.1875	0.226023604	0	0	312.22905	311.22183	8.652	unannotated
neg_feces	8702	-21.41145833	0.228631444	0	0	704.12582	351.05563	1.003	unannotated
neg_feces	304	15.75	0.229427486	0	0	142.06151	141.05423	2.135	unannotated
pos_plasma	5954	7.288461538	0.231172493	1.50E-208	2.19E-207	460.26621	461.27322	9.871	unannotated
pos_plasma	1626	36.125	0.231887858	0	0	135.03163	136.03891	1.215	unannotated
pos_plasma	3041	15.87591004	0.233172217	0	0	177.05073	178.05809	0.774	unannotated
neg_feces	3727	-5.25	0.233850819	0	0	342.14844	341.1413	12.912	unannotated
neg_plasma	296	15.94559686	0.235205554	0	0	125.01298	124.0057	0.842	Taurine
neg_plasma	5929	17.875	0.235412145	0	0	642.27222	641.26508	8.726	unannotated
neg_plasma	290	-3.25	0.238822167	3.39E-29	4.14E-28	124.05087	123.04346	4.522	unannotated
neg_plasma	5891	-8.05468651	0.240115969	0	0	633.36308	632.35614	9.692	unannotated
pos_plasma	1274	-64.16666667	0.240438097	0	0	128.01107	129.01823	1.221	unannotated
neg_feces	2502	-4.133333333	0.24047647	6.52E-148	1.06E-146	285.23732	284.23004	11.131	unannotated
pos_plasma	1464	15.65819576	0.244417341	0	0	134.06063	135.06772	1.265	unannotated
neg_plasma	1870	5.75	0.246912258	0	0	234.10907	233.10191	3.868	unannotated
neg_feces	4185	8.290176655	0.24809838	0	0	357.26176	356.25461	4.646	13,14-dihydro Prostaglandin E1
pos_plasma	388	-32.125	0.248192263	0	0	95.07386	96.08107	4.193	unannotated
neg_plasma	1862	-16.10745342	0.248836492	0	0	234.0041	232.99687	1.796	unannotated
neg_plasma	5713	-63.75	0.249202991	0	0	596.49973	595.49243	13.309	unannotated
neg_plasma	557	11.75	0.251492404	0	0	154.06147	153.05417	3.474	unannotated
neg_feces	5058	40.98	0.252455827	0	0	394.22911	393.22183	4.985	unannotated
pos_plasma	2808	63.94212316	0.253130595	0	0	168.02696	169.0341	4.517	unannotated
neg_plasma	634	9.424242424	0.253375709	0	0	160.07207	159.06479	1.716	unannotated
pos_plasma	6269	-151.875	0.255570369	0	0	530.19829	531.20557	3.134	unannotated
neg_plasma	2874	-16.02023487	0.257659697	0	0	297.89648	296.8891	0.761	unannotated
pos_feces	2408	-0.03125	0.258113837	0	0	152.06252	153.06979	7.764	unannotated
neg_feces	7103	-32	0.259575509	0	0	508.12584	507.11856	1.132	unannotated
pos_plasma	2887	-15.809247	0.261514157	0	0	170.09399	171.10127	7.053	1-(3-Furyl)-1,4-pentanediol
neg_plasma	1243	-64.046875	0.26189665	0	0	201.92759	200.92041	0.947	unannotated
pos_feces	3858	-5.32	0.264718534	1.98E-162	3.43E-161	190.17209	191.17937	11.793	unannotated
neg_plasma	1204	10.61733009	0.265999635	0	0	198.90832	197.901	1.669	unannotated
pos_feces	5782	-16.125	0.271710552	0	0	263.26113	264.2684	10.757	unannotated
neg_feces	5083	24.00199738	0.276048016	0	0	396.15242	395.14514	4.882	unannotated
